block,pot,position,sample_id,species,seedling_id,seed_weight_g,seed_number,seed_notes
A,59,6,A59-6,ABIG,483,,,
A,59,7,A59-7,ABAR,484,0.0084,2,
A,59,8,A59-8,RCAES,485,,,
A,59,9,A59-9,PLAB,486,,,
A,60,1,A60-1,ABAR,487,0.0678,9,
A,60,2,A60-2,ABAR,488,0.0733,13,
A,60,3,A60-3,PLAB,489,,,
A,60,4,A60-4,ABAR,490,,,
A,60,5,A60-5,ABIG,491,,,
A,60,6,A60-6,ABAR,492,0.0071,1,
A,60,7,A60-7,ABAR,493,0.0165,2,
A,60,8,A60-8,ABAR,494,,,
A,60,9,A60-9,RCAES,495,,,
A,61,1,A61-1,ABAR,496,0.0062,1,
A,61,2,A61-2,ABAR,497,,,
A,61,3,A61-3,RCAES,498,,,
A,61,4,A61-4,ABAR,499,,,
A,61,5,A61-5,ABAR,500,0.0092,2,
A,61,6,A61-6,ABIG,501,,,
A,61,7,A61-7,ABAR,502,,,
A,61,8,A61-8,ABAR,503,0.005,1,
A,61,9,A61-9,ABAR,504,,,
A,61,10,A61-10,PLAB,505,,,
A,61,11,A61-11,ABAR,506,,,
A,61,12,A61-12,ABAR,507,0.0066,1,
A,62,1,A62-1,ABAR,508,,,
A,62,2,A62-2,ABAR,509,0.0169,1,
A,62,3,A62-3,ABAR,510,0.0093,2,
A,62,4,A62-4,PLAB,511,,,
A,62,5,A62-5,ABAR,512,0.0089,2,
A,62,6,A62-6,ABIG,513,,,
A,62,7,A62-7,ABAR,514,0.0194,1,
A,62,8,A62-8,ABAR,515,0.0429,6,
A,62,9,A62-9,RCAES,516,,,
A,62,10,A62-10,ABAR,517,0.0036,2,
A,62,11,A62-11,ABAR,518,,,
A,62,12,A62-12,ABAR,519,0.0156,1,
A,63,1,A63-1,ABAR,520,0.0023,1,
A,63,2,A63-2,ABAR,521,0.0018,1,
A,63,3,A63-3,ABAR,522,0.0073,1,
A,63,4,A63-4,ABAR,523,0.0166,1,
A,63,5,A63-5,PLAB,524,,,
A,63,6,A63-6,RCAES,525,,,
A,63,7,A63-7,ABAR,526,0.0193,1,
A,63,8,A63-8,ABIG,527,0.0409,,
A,63,9,A63-9,ABAR,528,,,
A,63,10,A63-10,ABAR,529,0.0099,2,
A,63,11,A63-11,ABAR,530,,,
