seedling_id,sample_id,biomass_weight_g,weight_notes
837,A97-9,0.0541,NA
838,A97-10,0.0391,NA
839,A97-11,0.0309,NA
840,A97-12,0.0406,NA
841,A98-1,0.0641,NA
842,A98-2,0.1027,NA
843,A98-3,0.0723,NA
844,A98-4,0.1133,NA
845,A98-5,0.0786,NA
846,A98-6,0.0669,NA
847,A98-7,0.1012,NA
848,A98-8,0.1089,NA
849,A98-9,0.0631,NA
850,A98-10,0.179,NA
851,A98-11,0.1464,NA
852,A98-12,0.0854,NA
853,A99-1,0.1469,NA
854,A99-2,0.1533,NA
855,A99-3,0.0798,NA
856,A99-4,0.0916,NA
857,A99-5,0.1196,NA
858,A99-6,0.2447,NA
859,A99-7,0.1291,NA
860,A99-8,0.1594,NA
861,A99-9,0.2952,NA
862,A99-10,0.2164,NA
863,A99-11,0.1685,NA
864,A99-12,0.2652,NA
865,A100-1,0.016,NA
866,A100-2,0.036,NA
867,A100-3,0.0257,NA
868,A100-4,0.0206,NA
869,A100-5,0.0261,NA
870,A100-6,0.118,NA
871,A100-7,0.0305,NA
872,A100-8,0.032,NA
873,A100-9,0.025,NA
874,A100-10,0.0224,NA
875,A100-11,0.0439,NA
876,A100-12,0.0125,NA
877,A101-1,0.0752,NA
878,A101-2,0.1526,NA
879,A101-3,0.0489,NA
880,A101-4,0.0811,NA
881,A101-5,0.0998,NA
882,A101-6,0.0591,NA
883,A101-7,0.1372,NA
884,A101-8,0.0603,NA
885,A101-9,0.0691,NA
886,A101-10,0.08,NA
887,A101-11,0.2315,NA
888,A101-12,0.1235,NA
889,A102-1,0.1373,NA
890,A102-2,0.3552,NA
891,A102-3,0.1699,NA
892,A102-4,0.0821,NA
893,A102-5,0.1787,NA
894,A102-6,0.1569,NA
895,A102-7,0.1937,"Extra ECUR in sample, weight: 0.0981. Origin unknown"
896,A102-8,0.3506,NA
898,A102-10,0.1069,NA
899,A102-11,0.0633,NA
900,A102-12,0.3124,NA
901,B1-1,0.1489,NA
903,B1-3,0.1192,NA
904,B2-1,0.4375,NA
905,B2-2,0.2158,NA
906,B2-3,0.4165,NA
907,B3-1,1.1122,NA
908,B3-2,0.4436,NA
909,B3-3,0.3743,NA
910,B4-1,0.1069,NA
911,B4-2,0.0325,NA
912,B4-3,0.0461,NA
913,B4-4,0.0504,NA
914,B4-5,0.0347,NA
915,B4-6,0.0404,NA
916,B5-1,0.1747,NA
917,B5-2,0.1121,NA
918,B5-3,0.3701,NA
919,B5-4,0.1444,NA
920,B5-5,0.0797,NA
921,B5-6,0.1732,NA
922,B6-1,0.3419,NA
923,B6-2,0.417,NA
924,B6-3,0.2062,NA
925,B6-4,0.3256,NA
926,B6-5,0.1815,NA
927,B6-6,0.1248,NA
928,B7-1,0.0219,NA
929,B7-2,0.0282,NA
930,B7-3,0.0468,NA
931,B7-4,0.0333,NA
932,B7-5,0.0565,NA
933,B7-6,0.0356,NA
934,B7-7,0.0404,NA
935,B7-8,0.0445,NA
936,B7-9,0.0399,NA
937,B8-1,0.1064,NA
938,B8-2,0.1381,NA
